id,label,uri,type,type_generic,predicate_type
190,cheesecake batter,http://purl.obolibrary.org/obo/FOODON_03311873,food,food,
191,imitation grape jelly,http://purl.obolibrary.org/obo/FOODON_03311621,food,food,
192,champagne,http://purl.obolibrary.org/obo/FOODON_03301564,food,food,
193,33670 - sherry (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03543367,food,food,
194,pig as consumer,http://purl.obolibrary.org/obo/FOODON_03510027,food,food,has consumer
195,poultry (stuffed; frozen),http://purl.obolibrary.org/obo/FOODON_03307071,food,food,
196,sweet dish,http://purl.obolibrary.org/obo/FOODON_03316299,food,food,
197,whey butter,http://purl.obolibrary.org/obo/FOODON_03307382,food,food,
198,41240 - horseradish sauce (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03544124,food,food,
199,raspberry beverage syrup,http://purl.obolibrary.org/obo/FOODON_03305101,food,food,
200,vegetable or vegetable product (us cfr),http://purl.obolibrary.org/obo/FOODON_03400152,food,food,
201,cheese nuworld,http://purl.obolibrary.org/obo/FOODON_03316864,food,food,
202,kim chee,http://purl.obolibrary.org/obo/FOODON_03315299,food,food,
203,07010 - watermelons and similar- (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540701,food,food,
204,green: nutrient; diet supplement; anti-caking agent (codex),http://purl.obolibrary.org/obo/FOODON_03400427,food,food,
205,38850 - potatoes and meat meal (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03543885,food,food,
206,cookie food product,http://purl.obolibrary.org/obo/FOODON_00001762,food,food,
207,parsley flake,http://purl.obolibrary.org/obo/FOODON_03309943,food,food,
208,sardine (scaled),http://purl.obolibrary.org/obo/FOODON_03308432,food,food,
209,fish (minced; frozen),http://purl.obolibrary.org/obo/FOODON_03315700,food,food,
210,noodle soup,http://purl.obolibrary.org/obo/FOODON_03306622,food,food,
211,16470 - figs (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03541647,food,food,
212,european sturgeon,http://purl.obolibrary.org/obo/FOODON_03413812,food,food,
213,kegani crab food product,http://purl.obolibrary.org/obo/FOODON_00001984,food,food,
214,premier jus,http://purl.obolibrary.org/obo/FOODON_03316690,food,food,
215,margarine (herb-flavored),http://purl.obolibrary.org/obo/FOODON_03306262,food,food,
216,jasmine tea (dry),http://purl.obolibrary.org/obo/FOODON_03304680,food,food,
217,cracker sandwich (peanut butter filled),http://purl.obolibrary.org/obo/FOODON_03303210,food,food,
218,hoary basil plant,http://purl.obolibrary.org/obo/FOODON_03415117,food,food,
219,pastry food product,http://purl.obolibrary.org/obo/FOODON_00001212,food,food,
220,common marshmallow plant,http://purl.obolibrary.org/obo/FOODON_03415077,food,food,
221,nutmeg seed,http://purl.obolibrary.org/obo/FOODON_03316426,food,food,
222,red-banded lobster,http://purl.obolibrary.org/obo/FOODON_03413601,food,food,
223,gray sole,http://purl.obolibrary.org/obo/FOODON_03411867,food,food,
224,chocolate (for cooking),http://purl.obolibrary.org/obo/FOODON_03304311,food,food,
225,bacon fat (cooked),http://purl.obolibrary.org/obo/FOODON_03310748,food,food,
226,pear juice (concentrated; acid-reduced),http://purl.obolibrary.org/obo/FOODON_03307624,food,food,
227,candy mix,http://purl.obolibrary.org/obo/FOODON_03303776,food,food,
228,brazilian corvina (raw),http://purl.obolibrary.org/obo/FOODON_03308951,food,food,
229,palm vegetable food product,http://purl.obolibrary.org/obo/FOODON_00002079,food,food,
230,atlantic round herring,http://purl.obolibrary.org/obo/FOODON_03413850,food,food,
231,pollock (raw),http://purl.obolibrary.org/obo/FOODON_03301079,food,food,
232,beverage tablet,http://purl.obolibrary.org/obo/FOODON_03302037,food,food,
233,broccoli plant,http://purl.obolibrary.org/obo/FOODON_03411443,food,food,
234,flounder (frozen),http://purl.obolibrary.org/obo/FOODON_03308042,food,food,
235,green cardamom plant,http://purl.obolibrary.org/obo/FOODON_03411665,food,food,
236,20080 - goose; fresh fat tissue (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03542008,food,food,
237,humectant (ec),http://purl.obolibrary.org/obo/FOODON_03400341,food,food,
238,04410 - rock samphires (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540441,food,food,
239,beverage (fruit-flavored),http://purl.obolibrary.org/obo/FOODON_03301902,food,food,
240,06140 - vetches (with pods) (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540614,food,food,
241,ma yom dong,http://purl.obolibrary.org/obo/FOODON_00001308,food,food,
242,red drum,http://purl.obolibrary.org/obo/FOODON_03412460,food,food,
243,08450 - salad burnet (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540845,food,food,
244,butter and honey bread,http://purl.obolibrary.org/obo/FOODON_03302366,food,food,
245,fish (dried),http://purl.obolibrary.org/obo/FOODON_03309909,food,food,
246,fruit (freeze-dried),http://purl.obolibrary.org/obo/FOODON_03307620,food,food,
247,vegetable oil topping mix (food product),http://purl.obolibrary.org/obo/FOODON_03315844,food,food,
248,12920 - anise seed (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03541292,food,food,
249,02520 - croquembouche (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540252,food,food,
250,soft drink base (naturally and artificially sweetened; dry),http://purl.obolibrary.org/obo/FOODON_03302256,food,food,
251,29530 - geese eggs (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03542953,food,food,
252,chive food product,http://purl.obolibrary.org/obo/FOODON_00001732,food,food,
253,horseradish (grated),http://purl.obolibrary.org/obo/FOODON_03315591,food,food,
254,citric acid soft drink,http://purl.obolibrary.org/obo/FOODON_00001739,food,food,
255,silverskin onion plant,http://purl.obolibrary.org/obo/FOODON_03414323,food,food,
256,plum plant,http://purl.obolibrary.org/obo/FOODON_03411206,food,food,
257,crabmeat (processed),http://purl.obolibrary.org/obo/FOODON_03311697,food,food,
258,pet cat as consumer,http://purl.obolibrary.org/obo/FOODON_03510028,food,food,has consumer
259,crayfish (raw),http://purl.obolibrary.org/obo/FOODON_03308374,food,food,
260,21940 - liver based spreadable-textured specialities (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03542194,food,food,
261,16500 - chinese olives; black; white (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03541650,food,food,
262,11990 - white mustard seeds (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03541199,food,food,
263,chocolate liquor,http://purl.obolibrary.org/obo/FOODON_03301070,food,food,
264,spice grains (food product),http://purl.obolibrary.org/obo/FOODON_03310148,food,food,
265,32450 - juice concentrate; sweet cherry (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03543245,food,food,
266,cocoa pulp,http://purl.obolibrary.org/obo/FOODON_03316506,food,food,
267,05480 - globe artichokes and similar- (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540548,food,food,
268,37850 - pasta for children (dry; to be cooked) (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03543785,food,food,
269,wood apple food product,http://purl.obolibrary.org/obo/FOODON_00002367,food,food,
270,03260 - rye porridge (efsa foodex2),http://purl.obolibrary.org/obo/FOODON_03540326,food,food,
271,sillago,http://purl.obolibrary.org/obo/FOODON_00002905,food,food,
272,spice (whole),http://purl.obolibrary.org/obo/FOODON_03306052,food,food,
273,skilfish (raw),http://purl.obolibrary.org/obo/FOODON_03309431,food,food,
274,fish; gasterosteiform,http://purl.obolibrary.org/obo/FOODON_03412478,food,food,
275,absinthe,http://purl.obolibrary.org/obo/FOODON_00003229,food,food,
276,turtle egg (raw),http://purl.obolibrary.org/obo/FOODON_03307211,food,food,
277,tit low hon tea (dry),http://purl.obolibrary.org/obo/FOODON_03307793,food,food,
278,goosefish family,http://purl.obolibrary.org/obo/FOODON_03412405,food,food,
279,naranjilla (whole; raw),http://purl.obolibrary.org/obo/FOODON_03305319,food,food,
280,potato (french-fried; frozen),http://purl.obolibrary.org/obo/FOODON_03306879,food,food,
281,herring tidbit in sherry sauce,http://purl.obolibrary.org/obo/FOODON_03307359,food,food,
